field,fieldLabel,fieldCount
http://www.wikidata.org/entity/Q413,physics,149
http://www.wikidata.org/entity/Q115154790,discoveries and inventions,98
http://www.wikidata.org/entity/Q43035,electrical engineering,85
http://www.wikidata.org/entity/Q2329,chemistry,80
http://www.wikidata.org/entity/Q395,mathematics,70
http://www.wikidata.org/entity/Q101333,mechanical engineering,51
http://www.wikidata.org/entity/Q41217,mechanics,36
http://www.wikidata.org/entity/Q11190,medicine,34
http://www.wikidata.org/entity/Q21198,computer science,27
http://www.wikidata.org/entity/Q11023,engineering,27
http://www.wikidata.org/entity/Q465352,history of technology,25
http://www.wikidata.org/entity/Q333,astronomy,24
http://www.wikidata.org/entity/Q11351,organic chemistry,23
http://www.wikidata.org/entity/Q14620,optics,20
http://www.wikidata.org/entity/Q11633,photography,20
http://www.wikidata.org/entity/Q765633,aviation,18
http://www.wikidata.org/entity/Q5891,philosophy,17
http://www.wikidata.org/entity/Q15206450,engineer's degree,16
http://www.wikidata.org/entity/Q11467,metallurgy,16
http://www.wikidata.org/entity/Q3798668,aerospace engineering,15
