occupation,occupationLabel,inventorCount
http://www.wikidata.org/entity/Q81096,engineer,1283
http://www.wikidata.org/entity/Q43845,businessperson,588
http://www.wikidata.org/entity/Q131524,entrepreneur,566
http://www.wikidata.org/entity/Q1622272,university teacher,550
http://www.wikidata.org/entity/Q169470,physicist,527
http://www.wikidata.org/entity/Q593644,chemist,432
http://www.wikidata.org/entity/Q901,scientist,383
http://www.wikidata.org/entity/Q36180,writer,335
http://www.wikidata.org/entity/Q82955,politician,223
http://www.wikidata.org/entity/Q170790,mathematician,203
http://www.wikidata.org/entity/Q33231,photographer,181
http://www.wikidata.org/entity/Q39631,physician,179
http://www.wikidata.org/entity/Q82594,computer scientist,172
http://www.wikidata.org/entity/Q1326886,electrical engineer,164
http://www.wikidata.org/entity/Q10497074,military flight engineer,132
http://www.wikidata.org/entity/Q1906857,mechanical engineer,125
http://www.wikidata.org/entity/Q6606110,industrialist,116
http://www.wikidata.org/entity/Q2095549,aircraft pilot,114
http://www.wikidata.org/entity/Q37226,teacher,110
http://www.wikidata.org/entity/Q5322166,designer,108
http://www.wikidata.org/entity/Q42973,architect,98
http://www.wikidata.org/entity/Q13582652,civil engineer,96
http://www.wikidata.org/entity/Q1650915,researcher,96
http://www.wikidata.org/entity/Q1028181,painter,95
http://www.wikidata.org/entity/Q47064,military personnel,91
http://www.wikidata.org/entity/Q11063,astronomer,89
http://www.wikidata.org/entity/Q1930187,journalist,76
http://www.wikidata.org/entity/Q189290,military officer,76
http://www.wikidata.org/entity/Q2526255,film director,73
http://www.wikidata.org/entity/Q4964182,philosopher,68
http://www.wikidata.org/entity/Q49757,poet,68
http://www.wikidata.org/entity/Q639669,musician,67
http://www.wikidata.org/entity/Q36834,composer,64
http://www.wikidata.org/entity/Q978044,executive,62
http://www.wikidata.org/entity/Q3400985,academic,61
http://www.wikidata.org/entity/Q1779650,design engineer,59
http://www.wikidata.org/entity/Q121594,professor,57
http://www.wikidata.org/entity/Q483501,artist,55
http://www.wikidata.org/entity/Q327029,mechanic,54
http://www.wikidata.org/entity/Q5352191,technician,53
http://www.wikidata.org/entity/Q157798,watchmaker,50
http://www.wikidata.org/entity/Q18576582,metallurgist,47
http://www.wikidata.org/entity/Q33999,actor,46
http://www.wikidata.org/entity/Q774306,surgeon,46
http://www.wikidata.org/entity/Q1281618,sculptor,46
http://www.wikidata.org/entity/Q105186,pharmacist,43
http://www.wikidata.org/entity/Q40348,lawyer,40
http://www.wikidata.org/entity/Q215536,merchant,39
http://www.wikidata.org/entity/Q1955150,musical instrument maker,39
http://www.wikidata.org/entity/Q3282637,film producer,38
