inventor,inventorLabel,genderLabel,birth
http://www.wikidata.org/entity/Q104104,Andre Geim,masculin,1958-10-21T00:00:00Z
http://www.wikidata.org/entity/Q104126,Guido Storz,masculin,1847-08-09T00:00:00Z
http://www.wikidata.org/entity/Q104153,Hans Ziegler,masculin,1911-03-01T00:00:00Z
http://www.wikidata.org/entity/Q104282,Wilhelm Emil Fein,masculin,1842-01-16T00:00:00Z
http://www.wikidata.org/entity/Q104659,Jörg Mager,masculin,1880-11-06T00:00:00Z
http://www.wikidata.org/entity/Q104668,Vitaly Ginzburg,masculin,1916-10-04T00:00:00Z
http://www.wikidata.org/entity/Q104745,Hugo Erfurt,masculin,1834-02-13T00:00:00Z
http://www.wikidata.org/entity/Q104779,Simon van der Meer,masculin,1925-11-24T00:00:00Z
http://www.wikidata.org/entity/Q105305,Christian Schnabel,masculin,1878-05-13T00:00:00Z
http://www.wikidata.org/entity/Q105419,Rudolf Sack,masculin,1824-12-07T00:00:00Z
http://www.wikidata.org/entity/Q105510,Melchior Bauer,masculin,1733-10-19T00:00:00Z
http://www.wikidata.org/entity/Q105830,Baruch Samuel Blumberg,masculin,1925-07-28T00:00:00Z
http://www.wikidata.org/entity/Q106031,Majid Samii,masculin,1937-06-19T00:00:00Z
http://www.wikidata.org/entity/Q106208,Denis Papin,masculin,1647-08-22T00:00:00Z
http://www.wikidata.org/entity/Q106494,Konstantin Novoselov,masculin,1974-08-23T00:00:00Z
http://www.wikidata.org/entity/Q106624,Ahmed Zewail,masculin,1946-02-26T00:00:00Z
http://www.wikidata.org/entity/Q107302,Otto Liebknecht,masculin,1876-01-13T00:00:00Z
http://www.wikidata.org/entity/Q107880,Hugo Lentz,masculin,1859-07-21T00:00:00Z
http://www.wikidata.org/entity/Q108220,Fritz Cockerell,masculin,1889-11-25T00:00:00Z
http://www.wikidata.org/entity/Q109069,Max Carl Gritzner,masculin,1825-04-12T00:00:00Z
http://www.wikidata.org/entity/Q109409,Jakob Friedrich Kammerer,masculin,1796-05-24T00:00:00Z
http://www.wikidata.org/entity/Q109652,Friedrich August Köttig,masculin,1794-09-02T00:00:00Z
http://www.wikidata.org/entity/Q109783,Heinrich Koppers,masculin,1872-11-23T00:00:00Z
http://www.wikidata.org/entity/Q110442,Alois Wolfmüller,masculin,1864-04-24T00:00:00Z
