inventor,inventorLabel,genderLabel,countryLabel
http://www.wikidata.org/entity/Q57384,Wernher von Braun,masculin,Empire allemand
http://www.wikidata.org/entity/Q45440,Albrecht Ludwig Berblinger,masculin,duché de Wurtemberg
http://www.wikidata.org/entity/Q62377,Carl Wilhelm Siemens,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q60677,Charles Proteus Steinmetz,masculin,États-Unis
http://www.wikidata.org/entity/Q60677,Charles Proteus Steinmetz,masculin,Allemagne
http://www.wikidata.org/entity/Q61654,Max Skladanowsky,masculin,république de Weimar
http://www.wikidata.org/entity/Q62726,Gotthilf Hagen,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57089,Paul Ehrlich,masculin,Empire allemand
http://www.wikidata.org/entity/Q55199,Lev Koulechov,masculin,Union soviétique
http://www.wikidata.org/entity/Q60992,Heinrich Daniel Ruhmkorff,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q62377,Carl Wilhelm Siemens,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57089,Paul Ehrlich,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57189,Hans Geiger,masculin,république de Weimar
http://www.wikidata.org/entity/Q46830,Robert Hooke,masculin,royaume d'Angleterre
http://www.wikidata.org/entity/Q49769,Wolf Gerlach,masculin,Allemagne
http://www.wikidata.org/entity/Q61670,Hans Berger,masculin,Reich allemand
http://www.wikidata.org/entity/Q57384,Wernher von Braun,masculin,république de Weimar
http://www.wikidata.org/entity/Q62007,Helmut Gröttrup,masculin,Allemagne
http://www.wikidata.org/entity/Q57479,Adam Opel,masculin,grand-duché de Hesse
http://www.wikidata.org/entity/Q49819,Charles Simonyi,masculin,États-Unis
http://www.wikidata.org/entity/Q49819,Charles Simonyi,masculin,Hongrie
http://www.wikidata.org/entity/Q49826,Andy Rubin,masculin,États-Unis
http://www.wikidata.org/entity/Q61109,Oskar Barnack,masculin,Allemagne
http://www.wikidata.org/entity/Q49280,Mary Engle Pennington,féminin,États-Unis
http://www.wikidata.org/entity/Q51775,Harriet Williams Russell Strong,féminin,États-Unis
http://www.wikidata.org/entity/Q62007,Helmut Gröttrup,masculin,Troisième Reich
http://www.wikidata.org/entity/Q62843,Robert E. Kahn,masculin,États-Unis
http://www.wikidata.org/entity/Q61670,Hans Berger,masculin,duché de Saxe-Cobourg et Gotha
http://www.wikidata.org/entity/Q60363,Hugo Junkers,masculin,Allemagne
http://www.wikidata.org/entity/Q44335,Keith Campbell,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q55199,Lev Koulechov,masculin,Empire russe
http://www.wikidata.org/entity/Q42574,James Cameron,masculin,Canada
http://www.wikidata.org/entity/Q62882,Marc Andreessen,masculin,États-Unis
http://www.wikidata.org/entity/Q61224,Franz Aepinus,masculin,Saint-Empire romain germanique
http://www.wikidata.org/entity/Q60347,Walter Schottky,masculin,Reich allemand
http://www.wikidata.org/entity/Q57162,Otto Lilienthal,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q60997,Johann Christoph Denner,masculin,électorat de Saxe
http://www.wikidata.org/entity/Q60347,Walter Schottky,masculin,Allemagne de l'Ouest
http://www.wikidata.org/entity/Q57063,Philipp Lenard,masculin,Allemagne
http://www.wikidata.org/entity/Q57063,Philipp Lenard,masculin,Hongrie
http://www.wikidata.org/entity/Q55250,Pierre Le Moyne d'Iberville,masculin,France
http://www.wikidata.org/entity/Q61771,Emil Wiechert,masculin,Reich allemand
http://www.wikidata.org/entity/Q48988,Marie Louise Killick,féminin,Royaume-Uni
http://www.wikidata.org/entity/Q61149,Heinrich Göbel,masculin,États-Unis
http://www.wikidata.org/entity/Q61224,Franz Aepinus,masculin,Empire russe
http://www.wikidata.org/entity/Q46633,Charles Babbage,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q57077,Ferdinand Braun,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q61218,Peter Henlein,masculin,Nuremberg
http://www.wikidata.org/entity/Q59207,Alexander Parkes,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q58720,Mikhaïl Lomonossov,masculin,Empire russe
http://www.wikidata.org/entity/Q57073,Gabriel Fahrenheit,masculin,république des Deux Nations
http://www.wikidata.org/entity/Q62891,Heike Kamerlingh Onnes,masculin,Royaume des Pays-Bas
http://www.wikidata.org/entity/Q61771,Emil Wiechert,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q57077,Ferdinand Braun,masculin,Électorat de Hesse
http://www.wikidata.org/entity/Q57098,Gottlieb Daimler,masculin,Royaume du Wurtemberg
http://www.wikidata.org/entity/Q62137,Franz Xaver Gabelsberger,masculin,Allemagne
http://www.wikidata.org/entity/Q48988,Marie Louise Killick,féminin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q49034,Hedy Lamarr,féminin,États-Unis
http://www.wikidata.org/entity/Q49034,Hedy Lamarr,féminin,Autriche
http://www.wikidata.org/entity/Q60093,Konrad Zuse,masculin,Allemagne
http://www.wikidata.org/entity/Q60095,Otto von Guericke,masculin,Allemagne
http://www.wikidata.org/entity/Q58577,Werner von Siemens,masculin,Reich allemand
http://www.wikidata.org/entity/Q60871,Anton Flettner,masculin,Allemagne
http://www.wikidata.org/entity/Q61149,Heinrich Göbel,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57249,Ferdinand Porsche,masculin,Allemagne
http://www.wikidata.org/entity/Q57249,Ferdinand Porsche,masculin,Autriche
http://www.wikidata.org/entity/Q57249,Ferdinand Porsche,masculin,Tchécoslovaquie
http://www.wikidata.org/entity/Q60546,Walter Dornberger,masculin,États-Unis
http://www.wikidata.org/entity/Q60546,Walter Dornberger,masculin,Allemagne
http://www.wikidata.org/entity/Q62311,Didi Senft,masculin,Allemagne
http://www.wikidata.org/entity/Q60904,Henrich Focke,masculin,Allemagne
http://www.wikidata.org/entity/Q44412,Hans Christian Ørsted,masculin,Royaume du Danemark
http://www.wikidata.org/entity/Q60929,Hugo Schmeisser,masculin,Allemagne
http://www.wikidata.org/entity/Q61361,Gustave Whitehead,masculin,États-Unis
http://www.wikidata.org/entity/Q61361,Gustave Whitehead,masculin,Allemagne
http://www.wikidata.org/entity/Q59478,George Gamow,masculin,États-Unis
http://www.wikidata.org/entity/Q59478,George Gamow,masculin,Union soviétique
http://www.wikidata.org/entity/Q62339,Boris Floricic,masculin,Allemagne
http://www.wikidata.org/entity/Q60962,Uziel Gal,masculin,Israël
http://www.wikidata.org/entity/Q60962,Uziel Gal,masculin,Allemagne
http://www.wikidata.org/entity/Q62734,Fritz von Opel,masculin,Allemagne
http://www.wikidata.org/entity/Q60927,Johann Nepomuk Maelzel,masculin,royaume de Bavière
http://www.wikidata.org/entity/Q47956,Shahriar Afshar,masculin,Iran
http://www.wikidata.org/entity/Q62866,Ivan Sutherland,masculin,États-Unis
http://www.wikidata.org/entity/Q56171,Hugh Seymour Davies,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q57384,Wernher von Braun,masculin,États-Unis
http://www.wikidata.org/entity/Q61654,Max Skladanowsky,masculin,Reich allemand
http://www.wikidata.org/entity/Q61232,Felix Hoffmann,masculin,Allemagne
http://www.wikidata.org/entity/Q41656,Amanda Jones,féminin,États-Unis
http://www.wikidata.org/entity/Q60579,Moritz von Jacobi,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57189,Hans Geiger,masculin,Troisième Reich
http://www.wikidata.org/entity/Q57384,Wernher von Braun,masculin,Troisième Reich
http://www.wikidata.org/entity/Q60579,Moritz von Jacobi,masculin,Empire russe
http://www.wikidata.org/entity/Q59478,George Gamow,masculin,Empire russe
http://www.wikidata.org/entity/Q54436,Mary Walton,féminin,États-Unis
http://www.wikidata.org/entity/Q45440,Albrecht Ludwig Berblinger,masculin,Royaume du Wurtemberg
http://www.wikidata.org/entity/Q57384,Wernher von Braun,masculin,Allemagne de l'Ouest
http://www.wikidata.org/entity/Q61654,Max Skladanowsky,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q57189,Hans Geiger,masculin,Empire allemand
http://www.wikidata.org/entity/Q23810,Alfred Nobel,masculin,Suède
http://www.wikidata.org/entity/Q949,John Bardeen,masculin,États-Unis
http://www.wikidata.org/entity/Q680,Alessandro Volta,masculin,Venezuela
http://www.wikidata.org/entity/Q6353,Gérard Mercator,masculin,Pays-Bas des Habsbourg
http://www.wikidata.org/entity/Q1589,Luigi Galvani,masculin,États pontificaux
http://www.wikidata.org/entity/Q21482,Katharine Burr Blodgett,féminin,États-Unis
http://www.wikidata.org/entity/Q1618,Charles Lindbergh,masculin,États-Unis
http://www.wikidata.org/entity/Q21516,Ignazio Porro,masculin,royaume d'Italie
http://www.wikidata.org/entity/Q12658,Wilhelm Ostwald,masculin,Empire russe
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,masculin,France
http://www.wikidata.org/entity/Q8704,Walt Disney,masculin,États-Unis
http://www.wikidata.org/entity/Q5396,Louis Blériot,masculin,France
http://www.wikidata.org/entity/Q8768,Henry Ford,masculin,États-Unis
http://www.wikidata.org/entity/Q9041,James Watt,masculin,Écosse
http://www.wikidata.org/entity/Q8753,Enrico Fermi,masculin,royaume d'Italie
http://www.wikidata.org/entity/Q11488,Amanda Chessell,féminin,Royaume-Uni
http://www.wikidata.org/entity/Q7604,Leonhard Euler,masculin,royaume de Prusse
http://www.wikidata.org/entity/Q680,Alessandro Volta,masculin,duché de Milan
http://www.wikidata.org/entity/Q8003,Sergueï Eisenstein,masculin,Empire russe
http://www.wikidata.org/entity/Q7604,Leonhard Euler,masculin,Empire russe
http://www.wikidata.org/entity/Q11903,Hypatie,féminin,Empire byzantin
http://www.wikidata.org/entity/Q8750,Michael Faraday,masculin,royaume de Grande-Bretagne
http://www.wikidata.org/entity/Q680,Alessandro Volta,masculin,royaume de Lombardie-Vénétie
http://www.wikidata.org/entity/Q29538,Olive Dennis,féminin,États-Unis
http://www.wikidata.org/entity/Q680,Alessandro Volta,masculin,République cisalpine
http://www.wikidata.org/entity/Q8750,Michael Faraday,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q14345,Roh Moo-hyun,masculin,Corée du Sud
http://www.wikidata.org/entity/Q23889,Clive Sinclair,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q7322,Christophe Colomb,masculin,république de Gênes
http://www.wikidata.org/entity/Q6733,Edward Teller,masculin,États-Unis
http://www.wikidata.org/entity/Q6733,Edward Teller,masculin,Hongrie
http://www.wikidata.org/entity/Q34253,Linus Torvalds,masculin,États-Unis
http://www.wikidata.org/entity/Q34253,Linus Torvalds,masculin,Finlande
http://www.wikidata.org/entity/Q762,Léonard de Vinci,masculin,République florentine
http://www.wikidata.org/entity/Q21826,Edith Clarke,féminin,États-Unis
http://www.wikidata.org/entity/Q12674,Rudolf Diesel,masculin,royaume de Bavière
http://www.wikidata.org/entity/Q11812,Thomas Jefferson,masculin,États-Unis
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q1868,Paul Otlet,masculin,Belgique
http://www.wikidata.org/entity/Q16389,Charles Kao,masculin,États-Unis
http://www.wikidata.org/entity/Q16389,Charles Kao,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q4864,Eugène Kaspersky,masculin,Russie
http://www.wikidata.org/entity/Q7604,Leonhard Euler,masculin,ancienne Confédération suisse
http://www.wikidata.org/entity/Q7437,Irina Beletskaïa,féminin,Union soviétique
http://www.wikidata.org/entity/Q7437,Irina Beletskaïa,féminin,Russie
http://www.wikidata.org/entity/Q12935,Étienne Lenoir,masculin,Belgique
http://www.wikidata.org/entity/Q12935,Étienne Lenoir,masculin,Luxembourg
http://www.wikidata.org/entity/Q32210,Manuel Mondragón,masculin,Mexique
http://www.wikidata.org/entity/Q8963,Johannes Kepler,masculin,duché de Wurtemberg
http://www.wikidata.org/entity/Q7306,Patsy O'Connell Sherman,féminin,États-Unis
http://www.wikidata.org/entity/Q7439,Richard Stallman,masculin,États-Unis
http://www.wikidata.org/entity/Q14345,Roh Moo-hyun,masculin,Cinquième République de Corée du Sud
http://www.wikidata.org/entity/Q22677,Michael Hart,masculin,États-Unis
http://www.wikidata.org/entity/Q9095,James Clerk Maxwell,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q675,André-Marie Ampère,masculin,France
http://www.wikidata.org/entity/Q7440,Ruth Rogan Benerito,féminin,États-Unis
http://www.wikidata.org/entity/Q16571,Justus von Liebig,masculin,grand-duché de Hesse
http://www.wikidata.org/entity/Q7259,Ada Lovelace,féminin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q17522,Hertha Ayrton,féminin,Royaume-Uni
http://www.wikidata.org/entity/Q17524,Tabitha Babbitt,féminin,États-Unis
http://www.wikidata.org/entity/Q9036,Nikola Tesla,masculin,États-Unis
http://www.wikidata.org/entity/Q7446,Rachel Fuller Brown,féminin,États-Unis
http://www.wikidata.org/entity/Q8743,Thomas Edison,masculin,États-Unis
http://www.wikidata.org/entity/Q21863,Eleanor Coade,féminin,royaume de Grande-Bretagne
http://www.wikidata.org/entity/Q21863,Eleanor Coade,féminin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q7415,Maria Telkes,féminin,États-Unis
http://www.wikidata.org/entity/Q7415,Maria Telkes,féminin,Hongrie
http://www.wikidata.org/entity/Q12999,Polydoor Lippens,masculin,Belgique
http://www.wikidata.org/entity/Q7476,Helen Murray Free,féminin,États-Unis
http://www.wikidata.org/entity/Q307,Galilée,masculin,grand-duché de Toscane
http://www.wikidata.org/entity/Q9036,Nikola Tesla,masculin,empire d'Autriche
http://www.wikidata.org/entity/Q11758,Louis-Lazare Zamenhof,masculin,Empire russe
http://www.wikidata.org/entity/Q21901,Josephine Cochrane,féminin,États-Unis
http://www.wikidata.org/entity/Q28978,Ignacy Łukasiewicz,masculin,Autriche-Hongrie
http://www.wikidata.org/entity/Q18398,Louis Armand,masculin,France
http://www.wikidata.org/entity/Q17522,Hertha Ayrton,féminin,Royaume-Uni de Grande-Bretagne et d'Irlande
http://www.wikidata.org/entity/Q9036,Nikola Tesla,masculin,Royaume de Hongrie
http://www.wikidata.org/entity/Q307,Galilée,masculin,duché de Florence
http://www.wikidata.org/entity/Q28978,Ignacy Łukasiewicz,masculin,empire d'Autriche
http://www.wikidata.org/entity/Q27369,Charles Samuel Franklin,masculin,Royaume-Uni
http://www.wikidata.org/entity/Q11490,Lynn Conway,femme trans,États-Unis
http://www.wikidata.org/entity/Q11431,Evelyn Berezin,féminin,États-Unis
http://www.wikidata.org/entity/Q18417,Édouard Belin,masculin,France
http://www.wikidata.org/entity/Q7508,Ann Kiessling,féminin,États-Unis
http://www.wikidata.org/entity/Q8958,Johannes Gutenberg,masculin,Saint-Empire romain germanique
http://www.wikidata.org/entity/Q19837,Steve Jobs,masculin,États-Unis
