inventor,inventorLabel,invention,inventionLabel
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,http://www.wikidata.org/entity/Q11288,serveur web
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,http://www.wikidata.org/entity/Q8811,HTML
http://www.wikidata.org/entity/Q7439,Richard Stallman,http://www.wikidata.org/entity/Q44571,GNU
http://www.wikidata.org/entity/Q7439,Richard Stallman,http://www.wikidata.org/entity/Q11275,Manifeste GNU
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q193910,théorème d'Euler
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q184871,formule d'Euler
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q190026,indicatrice d'Euler
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q190573,fonction gamma
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q204819,identité d'Euler
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q214533,cercle d'Euler
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q1070729,Vol de nuit
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q2974375,Citadelle
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131501780,"Sainte Anne, la Vierge et l'Enfant"
http://www.wikidata.org/entity/Q7604,Leonhard Euler,http://www.wikidata.org/entity/Q273023,constante d'Euler-Mascheroni
http://www.wikidata.org/entity/Q1868,Paul Otlet,http://www.wikidata.org/entity/Q451,Mundaneum
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,http://www.wikidata.org/entity/Q54837,Web sémantique
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q1115707,Courrier sud
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q128910,La Cène
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q783215,Saint Jean-Baptiste
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q154326,Annonciation
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q520146,Terre des hommes
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q972196,Saint Jérôme
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q1430624,Pilote de guerre
http://www.wikidata.org/entity/Q2908,Antoine de Saint-Exupéry,http://www.wikidata.org/entity/Q3237012,Lettre à un otage
http://www.wikidata.org/entity/Q6353,Gérard Mercator,http://www.wikidata.org/entity/Q309372,projection de Mercator
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q1638622,L'Adoration des mages
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q563727,"La Vierge, l'Enfant Jésus et sainte Anne"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q269342,La Vierge aux rochers
http://www.wikidata.org/entity/Q675,André-Marie Ampère,http://www.wikidata.org/entity/Q51500,Théorème d'Ampère
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q1217213,L'Annonciation de San Martino
http://www.wikidata.org/entity/Q675,André-Marie Ampère,http://www.wikidata.org/entity/Q107264571,Essai sur la philosophie des sciences
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,http://www.wikidata.org/entity/Q8777,Hypertext Transfer Protocol
http://www.wikidata.org/entity/Q7439,Richard Stallman,http://www.wikidata.org/entity/Q7603,licence publique générale GNU
http://www.wikidata.org/entity/Q675,André-Marie Ampère,http://www.wikidata.org/entity/Q47466873,Mémoire sur la théorie mathématique des phénomènes électrodynamiques uniquement déduite de l’experience
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q1892745,Salvator Mundi (Sauveur du Monde)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q212042,vis aérienne
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q215486,Homme de Vitruve
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q591128,Isabelle d'Este
http://www.wikidata.org/entity/Q6353,Gérard Mercator,http://www.wikidata.org/entity/Q6818052,mercator 1569
http://www.wikidata.org/entity/Q1868,Paul Otlet,http://www.wikidata.org/entity/Q243350,classification décimale universelle
http://www.wikidata.org/entity/Q80,Tim Berners-Lee,http://www.wikidata.org/entity/Q126010690,Design Issues for the World Wide Web
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q474338,La Dame à l'hermine
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q20174114,"Wreath of Laurel, Palm, and Juniper with a Scroll inscribed Virtutem Forma Decorat [reverse]"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q797902,La Scapigliata
http://www.wikidata.org/entity/Q7439,Richard Stallman,http://www.wikidata.org/entity/Q1252773,GNU Emacs
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131408863,A horseman fighting a dragon
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131449682,Allegory on the Fidelity of the Lizard
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131542579,Codex Atlanticus (F1070)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131501823,studies for the London Virgin of the Rocks
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131557873,Studies of military tank-like machines
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561182,"Drawing by Leonardo da Vinci (Uffizi, 424 E)"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561183,"Drawing by Leonardo da Vinci (Uffizi, 425 E)"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561180,"Drawing by Leonardo da Vinci (Uffizi, 421 E)"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561184,"Drawing by Leonardo da Vinci (Uffizi, 428 E)"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561185,Perspective study for the background of the Adoration of the Magi
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561186,Drawing of two heads in profile and studies of machines
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131561181,"Studies of an old man and a youth (Salai?) in profile, facing each other"
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604546,Codex Atlanticus (F0026)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604547,Codex Atlanticus (F0089)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604550,Codex Atlanticus (F0149)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604548,Codex Atlanticus (F0133)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604551,Codex Atlanticus (F0157)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604549,Codex Atlanticus (F0139)
http://www.wikidata.org/entity/Q762,Léonard de Vinci,http://www.wikidata.org/entity/Q131604552,Codex Atlanticus (F0812)
